Device,Mode,Instructions,TimeMS
andy,FLOATING,500000,6
andy,FIXED,500000,1
andy,FLOATING,1000000,1
andy,FIXED,1000000,3
andy,FLOATING,5000000,9
andy,FIXED,5000000,2
andy,FLOATING,10000000,10
andy,FIXED,10000000,5
andy,FLOATING,50000000,51
andy,FIXED,50000000,26
andy,FLOATING,100000000,100
andy,FIXED,100000000,52
DESKTOP-S3BHPOS,FLOATING,500000,3
DESKTOP-S3BHPOS,FIXED,500000,3
DESKTOP-S3BHPOS,FLOATING,1000000,1
DESKTOP-S3BHPOS,FIXED,1000000,2
DESKTOP-S3BHPOS,FLOATING,5000000,8
DESKTOP-S3BHPOS,FIXED,5000000,2
DESKTOP-S3BHPOS,FLOATING,10000000,13
DESKTOP-S3BHPOS,FIXED,10000000,4
DESKTOP-S3BHPOS,FLOATING,50000000,63
DESKTOP-S3BHPOS,FIXED,50000000,23
DESKTOP-S3BHPOS,FLOATING,100000000,126
DESKTOP-S3BHPOS,FIXED,100000000,47
