Device,TestMode,BufferSizeKB,WriteSpeedMBps
andy,r-fs,512,0.70
andy,r-fs,1024,1.50
andy,r-fs,2048,2.11
andy,r-fs,4096,5.44
andy,r-fs,8192,10.94
andy,r-fs,16384,20.69
andy,r-fs,32768,41.65
andy,r-fs,65536,78.09
andy,r-ft,512,0.04
andy,r-ft,1024,0.09
andy,r-ft,2048,0.19
andy,r-ft,4096,0.05
andy,r-ft,8192,0.82
andy,r-ft,16384,1.94
andy,r-ft,32768,2.53
andy,r-ft,65536,15.84
andy,w-fs,512,0.58
andy,w-fs,1024,1.51
andy,w-fs,2048,2.17
andy,w-fs,4096,5.45
andy,w-fs,8192,11.30
andy,w-fs,16384,20.90
andy,w-fs,32768,40.29
andy,w-fs,65536,73.50
andy,w-ft,512,2.38
andy,w-ft,1024,0.10
andy,w-ft,2048,0.10
andy,w-ft,4096,0.02
andy,w-ft,8192,0.00
andy,w-ft,16384,0.83
andy,w-ft,32768,1.76
andy,w-ft,65536,3.05
