Device,TestMode,FileName,FileSizeMB,BufferSizeKB,WriteSpeedMBps,Timestamp
andy,fs,/home/andy/Documents/temp/bench/write-0.dat,256,1,133.74,1748699512766
andy,fs,/home/andy/Documents/temp/bench/write-1.dat,256,2,159.40,1748699514431
andy,fs,/home/andy/Documents/temp/bench/write-2.dat,256,4,169.20,1748699516006
andy,fs,/home/andy/Documents/temp/bench/write-3.dat,256,8,179.92,1748699517487
andy,fs,/home/andy/Documents/temp/bench/write-4.dat,256,16,181.92,1748699518956
andy,fs,/home/andy/Documents/temp/bench/write-5.dat,256,32,189.77,1748699520365
andy,fs,/home/andy/Documents/temp/bench/write-6.dat,256,64,191.76,1748699521759
andy,fs,/home/andy/Documents/temp/bench/write-7.dat,256,128,189.90,1748699523167
andy,fs,/home/andy/Documents/temp/bench/write-8.dat,256,256,189.25,1748699524579
andy,fb,/home/andy/Documents/temp/bench/write-0.dat,1,4,156.04,1748699524587
andy,fb,/home/andy/Documents/temp/bench/write-1.dat,2,4,162.97,1748699524601
andy,fb,/home/andy/Documents/temp/bench/write-2.dat,4,4,169.92,1748699524625
andy,fb,/home/andy/Documents/temp/bench/write-3.dat,8,4,170.34,1748699524675
andy,fb,/home/andy/Documents/temp/bench/write-4.dat,16,4,168.91,1748699524773
andy,fb,/home/andy/Documents/temp/bench/write-5.dat,32,4,169.93,1748699524968
andy,fb,/home/andy/Documents/temp/bench/write-6.dat,64,4,168.95,1748699525361
andy,fb,/home/andy/Documents/temp/bench/write-7.dat,128,4,169.76,1748699526145
andy,fb,/home/andy/Documents/temp/bench/write-8.dat,256,4,168.52,1748699527723
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-0.dat,256,1,118.73,1748776728802
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-1.dat,256,2,200.31,1748776730109
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-2.dat,256,4,265.44,1748776731105
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-3.dat,256,8,305.17,1748776731975
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-4.dat,256,16,352.10,1748776732744
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-5.dat,256,32,381.38,1748776733446
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-6.dat,256,64,361.33,1748776734191
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-7.dat,256,128,404.32,1748776734864
DESKTOP-S3BHPOS,fs,C:\Users\Lenovo\Documents\temp\bench\write-8.dat,256,256,406.89,1748776735518
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-0.dat,1,4,243.97,1748776735525
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-1.dat,2,4,179.66,1748776735538
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-2.dat,4,4,204.11,1748776735560
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-3.dat,8,4,176.51,1748776735609
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-4.dat,16,4,177.87,1748776735704
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-5.dat,32,4,203.85,1748776735866
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-6.dat,64,4,234.43,1748776736147
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-7.dat,128,4,248.14,1748776736675
DESKTOP-S3BHPOS,fb,C:\Users\Lenovo\Documents\temp\bench\write-8.dat,256,4,262.94,1748776737675
